"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",1.03964002949248,0.00161417777275895,24.0831762189288,3.75159795105233e-128
"2","t_stopword",0.67167977734346,0.00270480036631516,-147.136024823927,0
"3","avg_word_length",1.08760893192051,0.00311697340468434,26.9433310278841,6.82895370878721e-160
"4","n_propn",1.33681250900625,0.00370103538080701,78.4342827917919,0
"5","n_PUNCT_PunctType_Comm",1.22095066238115,0.0031472454066788,63.4300033731966,0
"6","n_PUNCT_PunctType_Dash",1.12547519406721,0.00316067663203008,37.3987455728201,4.09518149240547e-306
"7","n_PUNCT_PunctType_Brck",0.865339415265716,0.00252874858231096,-57.1956668351489,0
"8","n_part",0.975706688402882,0.00231983830371083,-10.6012828021334,2.93920597216845e-26
"9","n_dependency_advcl",1.1632227377177,0.00195044131624199,77.5180334335124,0
"10","n_dependency_case",1.12832601836324,0.00184401968320762,65.4738860912301,0
"11","n_dependency_compound",0.882279784898373,0.00238123540194312,-52.5970917186832,0
"12","n_dependency_conj",0.934555052387876,0.00298845420793687,-22.6487468268647,1.43535640194494e-113
"13","n_dependency_neg",1.04315841735457,0.00189890370063951,22.2512867381579,1.09602892384183e-109
"14","avg_aoa",1.12708393314438,0.0031618697434462,37.836380632768,2.86774114603711e-313
"15","n_high_Head_sensorimotor",1.16916413075435,0.00202133413885291,77.3197623928802,0
"16","avg_concreteness",0.937406327707385,0.00204559603178187,-31.598830970275,3.83115192950816e-219
"17","n_high_Auditory_sensorimotor",0.912389597646129,0.00186225819742891,-49.2349502624166,0
"18","avg_prevalence",1.09650606385457,0.00404649702611099,22.7675489335986,9.61761151299625e-115
"19","n_high_intensity_anger",1.10984953821677,0.00172828191479839,60.3052396069604,0
"20","n_high_intensity_trust",1.08217484642442,0.00169686087996886,46.5405054048484,0
"21","corr_verb_var",1.09629833775058,0.00274232239947258,33.5260936055473,2.00863129096601e-246
"22","simpsons_d",1.71002237699729,0.123748672633063,4.33545221113694,1.45460774712964e-05
"23","n_date",0.82236809799934,0.00258077131422772,-75.7785764661513,0
"24","n_org",0.911704823927723,0.00202094228592553,-45.7405438612048,0
"25","entropy",1.00399800634972,0.00354449306300791,1.12569992074728,0.260292557317247
