"","term","OR","CI_lower","CI_upper"
"(Intercept)","(Intercept)",1.03964002949248,1.03635602607632,1.04293443925373
"t_stopword","t_stopword",0.67167977734346,0.668128350416712,0.675250081830497
"avg_word_length","avg_word_length",1.08760893192051,1.08098469284274,1.09427376412013
"n_propn","n_propn",1.33681250900625,1.32715031910926,1.34654504354488
"n_PUNCT_PunctType_Comm","n_PUNCT_PunctType_Comm",1.22095066238115,1.21344228680314,1.22850549727942
"n_PUNCT_PunctType_Dash","n_PUNCT_PunctType_Dash",1.12547519406721,1.11852451001768,1.13246907074088
"n_PUNCT_PunctType_Brck","n_PUNCT_PunctType_Brck",0.865339415265716,0.86106110381608,0.86963898414851
"n_part","n_part",0.975706688402882,0.971280334856884,0.980153213885869
"n_dependency_advcl","n_dependency_advcl",1.1632227377177,1.15878438327011,1.16767809186816
"n_dependency_case","n_dependency_case",1.12832601836324,1.12425529460101,1.13241148147517
"n_dependency_compound","n_dependency_compound",0.882279784898373,0.878171584214706,0.886407204278205
"n_dependency_conj","n_dependency_conj",0.934555052387876,0.929097017898599,0.940045150418325
"n_dependency_neg","n_dependency_neg",1.04315841735457,1.03928315294385,1.04704813179674
"avg_aoa","avg_aoa",1.12708393314438,1.12012069447725,1.13409045883673
"n_high_Head_sensorimotor","n_high_Head_sensorimotor",1.16916413075435,1.16454128234792,1.17380533035854
"avg_concreteness","avg_concreteness",0.937406327707385,0.933655444925444,0.941172279347673
"n_high_Auditory_sensorimotor","n_high_Auditory_sensorimotor",0.912389597646129,0.909065422185617,0.915725928604169
"avg_prevalence","avg_prevalence",1.09650606385457,1.08784392284998,1.1052371786202
"n_high_intensity_anger","n_high_intensity_anger",1.10984953821677,1.10609635817309,1.11361545346235
"n_high_intensity_trust","n_high_intensity_trust",1.08217484642442,1.07858167658577,1.08577998649191
"corr_verb_var","corr_verb_var",1.09629833775058,1.09042159466788,1.10220675308686
"simpsons_d","simpsons_d",1.71002237699729,1.34172896951718,2.17940925199202
"n_date","n_date",0.82236809799934,0.818218806816498,0.826538430763207
"n_org","n_org",0.911704823927723,0.908100661220179,0.915323291204547
"entropy","entropy",1.00399800634972,0.997047197279498,1.01099727225014
