feature,arxiv_abstracts_100,congress_politics_2026_lines_100,human_wp_stories_100,news_wsj_100
simp_adj_var,0.81348,0.65545,0.86208,0.8248399999999999
simp_adp_var,0.46558999999999995,0.6085200000000001,0.41052999999999995,0.39694
simp_adv_var,0.82095,0.35100000000000003,0.77358,0.75932
simp_aux_var,0.40514000000000006,0.47946,0.23484,0.39460999999999996
simp_cconj_var,0.46110999999999996,0.26957000000000003,0.235,0.31385
simp_det_var,0.31094,0.36646999999999996,0.21798,0.2591
simp_intj_var,0.0,0.01822,0.50802,0.08
simp_noun_var,0.71854,0.8375400000000001,0.7598699999999999,0.6537999999999999
simp_num_var,0.70289,0.67983,0.68766,0.7971299999999999
simp_part_var,0.50014,0.33852000000000004,0.27266999999999997,0.36719
simp_pron_var,0.6335999999999999,0.38829,0.22486,0.5540999999999999
simp_propn_var,0.7211799999999999,0.84387,0.60362,0.6638
simp_punct_var,0.29419,0.43869,0.12462999999999999,0.16311
simp_sconj_var,0.63156,0.1563,0.6432000000000001,0.435
simp_sym_var,0.2,0.0986,0.17318,0.33314
simp_verb_var,0.90537,0.7114400000000001,0.74611,0.79426
simp_space_var,0.0,0.0,0.0,0.0
root_adj_var,3.24895,1.62596,4.35679,4.05732
root_adp_var,1.85165,1.4620900000000001,2.4327799999999997,1.9213999999999998
root_adv_var,1.5815199999999998,0.74869,3.71582,2.6421499999999996
root_aux_var,0.85927,0.73,1.0703799999999999,1.10273
root_cconj_var,0.74918,0.42253999999999997,0.69872,0.76168
root_det_var,1.11225,0.8107099999999999,1.22143,1.0751600000000001
root_intj_var,0.0,0.032850000000000004,0.86879,0.10196
root_noun_var,4.28829,3.05828,6.61268,5.71462
root_num_var,1.14943,1.3232300000000001,1.24612,2.97978
root_part_var,0.66069,0.51538,0.77227,0.7883199999999999
root_pron_var,1.12155,0.6692400000000001,1.57995,1.5063300000000002
root_propn_var,1.80667,3.01038,1.96945,4.1339999999999995
root_punct_var,1.03948,1.07819,0.89917,0.81039
root_sconj_var,0.8664499999999999,0.28457,1.56965,0.96527
root_sym_var,0.23898,0.10965,0.20384,0.47216
root_verb_var,3.13534,2.06347,5.997240000000001,4.68032
root_space_var,0.0,0.0,0.0,0.0
corr_adj_var,2.29734,1.14975,3.08074,2.86897
corr_adp_var,1.3093299999999999,1.03384,1.72014,1.3586600000000002
corr_adv_var,1.11833,0.5294,2.62755,1.86826
corr_aux_var,0.60758,0.51615,0.75688,0.77976
corr_cconj_var,0.52974,0.29875999999999997,0.49396,0.53856
corr_det_var,0.78643,0.57321,0.86367,0.76024
corr_intj_var,0.0,0.02323,0.61432,0.0721
corr_noun_var,3.03226,2.16253,4.67593,4.040830000000001
corr_num_var,0.81277,0.93566,0.8811,2.10699
corr_part_var,0.46710999999999997,0.36441,0.54598,0.55741
corr_pron_var,0.79302,0.47318,1.11716,1.06516
corr_propn_var,1.2775100000000001,2.12871,1.39257,2.92315
corr_punct_var,0.73497,0.76237,0.63588,0.57304
corr_sconj_var,0.61261,0.20121,1.10994,0.68257
corr_sym_var,0.16898,0.07751999999999999,0.14413,0.33387
corr_verb_var,2.217,1.45908,4.24072,3.3094799999999998
corr_space_var,0.0,0.0,0.0,0.0
t_word,155.01,285.79,613.4,554.47
t_stopword,58.83,114.37,286.1,204.43
t_punct,17.35,41.44,96.38,75.12
t_uword,86.76,85.64,228.3,226.38
t_sent,5.59,11.54,40.24,21.66
t_char,738.35,1234.99,2219.21,2407.33
