,abs_gap,rel_gap,human_human,advisor,journalist,writer
t_punct,59.35,0.8004045852892729,7.4,62.7,66.75,62.65
simp_det_var,0.42935,0.7549010975738003,0.49905,0.07360000000000001,0.07239999999999999,0.0697
root_num_var,0.5353500000000001,0.7280206694390147,0.1,0.6353500000000001,0.5792499999999999,0.6121
corr_num_var,0.37845000000000006,0.7279984596941457,0.0707,0.44915000000000005,0.4095000000000001,0.43279999999999996
simp_num_var,0.42500000000000004,0.6799999989120001,0.1,0.50005,0.475,0.525
t_word,339.75,0.6727056727043408,82.65,398.2,422.4,389.5
t_char,1314.9499999999998,0.66811472702758,326.6,1601.85,1641.55,1499.65
t_stopword,131.3,0.6158536585336969,40.95,159.15,172.25,160.65
t_uword,122.39999999999999,0.5493716337497784,50.2,164.75,172.6,168.25
t_sent,14.4,0.541353383438295,6.1,20.1,20.5,19.45
simp_punct_var,0.1417,0.49510831413309453,0.21395,0.07225,0.07235000000000001,0.07335
corr_adj_var,1.9442499999999998,0.4465382803489767,1.2048999999999999,3.03875,3.1491499999999997,2.9199000000000006
root_adj_var,2.7496000000000005,0.4465376119841274,1.7040000000000002,4.297349999999999,4.453600000000001,4.12925
root_noun_var,4.156699999999998,0.4395693875575467,2.6498,6.1979500000000005,6.667699999999999,6.806499999999998
corr_noun_var,2.939200000000001,0.43956569849556354,1.8737,4.382599999999999,4.714899999999999,4.812900000000001
corr_det_var,0.47624999999999995,0.42218873239467325,0.8021499999999999,0.33859999999999996,0.3486,0.32589999999999997
root_det_var,0.6733499999999998,0.42199103787046577,1.1344999999999998,0.47895000000000004,0.4929499999999999,0.46115000000000006
simp_pron_var,0.30065,0.37910598275126917,0.54685,0.24619999999999997,0.256,0.26505
simp_cconj_var,0.28595,0.37028164406567604,0.5291,0.26225,0.24315000000000003,0.27664999999999995
simp_adp_var,0.4166,0.3649583877661337,0.77905,0.36245,0.3657,0.37270000000000003
simp_aux_var,0.23460000000000003,0.34494927165865424,0.45735000000000003,0.22275,0.27249999999999996,0.26670000000000005
root_adv_var,1.2851499999999996,0.3109597492502849,1.42385,2.6928500000000004,2.7089999999999996,2.6686
corr_adv_var,0.9086000000000003,0.3109301210352029,1.0068000000000001,1.90395,1.9154000000000004,1.8869500000000001
corr_verb_var,1.7260999999999993,0.2900228509493206,2.11275,3.7674499999999993,3.6747500000000004,3.8388499999999994
root_verb_var,2.4407499999999986,0.2899906732144033,2.9879500000000005,5.327999999999999,5.1968000000000005,5.428699999999999
simp_part_var,0.21615000000000006,0.2506522870636607,0.53925,0.3651,0.35815,0.32309999999999994
corr_aux_var,0.2743500000000002,0.23011113421672388,0.7333000000000001,0.45894999999999986,0.5151,0.4785499999999999
root_aux_var,0.3880000000000001,0.230103190469634,1.0371000000000001,0.6491,0.7285,0.67675
simp_propn_var,0.13255,0.16495550971942566,0.46805,0.38565000000000005,0.3355,0.3527
simp_sconj_var,0.14255000000000007,0.10552615012360655,0.70835,0.60415,0.6284000000000001,0.7467
simp_noun_var,0.13380000000000014,0.08921784350922336,0.8167500000000001,0.68295,0.7248500000000001,0.756
simp_adv_var,0.12725000000000009,0.08047939785568775,0.8542,0.7269499999999999,0.7612500000000001,0.79915
corr_propn_var,0.11145000000000005,0.07818035138846037,0.7685000000000001,0.70055,0.65705,0.70005
root_propn_var,0.15744999999999998,0.07809438777963226,1.0868,0.9909000000000001,0.92935,0.9899000000000001
corr_pron_var,0.1499999999999997,0.07734350826165626,1.0447,0.8947000000000003,0.97255,1.0190499999999996
root_pron_var,0.21199999999999997,0.07729609506059863,1.47735,1.26535,1.37545,1.4413500000000004
simp_verb_var,0.09749999999999992,0.06038273359733522,0.8561,0.762,0.7586,0.7971
corr_part_var,0.07414999999999994,0.05893573893499518,0.61575,0.6181999999999999,0.66615,0.5920000000000001
root_part_var,0.10470000000000013,0.058833445685079054,0.8707999999999998,0.8743000000000001,0.94215,0.8374499999999999
corr_sconj_var,0.07810000000000006,0.05426625899509018,0.68055,0.6855,0.75865,0.7559
root_sconj_var,0.11030000000000018,0.05419348496330107,0.9625,0.9695,1.0728000000000002,1.06915
root_adp_var,0.20564999999999944,0.044627453523729044,2.2012500000000004,2.35715,2.4069,2.3935000000000004
corr_adp_var,0.1453500000000001,0.04460709845337291,1.55655,1.66675,1.7019000000000002,1.6924500000000002
simp_adj_var,0.06184999999999985,0.03628097959449706,0.8833,0.8301999999999999,0.8214500000000001,0.84335
root_cconj_var,0.05625000000000002,0.03567464719475211,0.78835,0.7755000000000001,0.7602499999999999,0.8164999999999999
corr_cconj_var,0.03974999999999995,0.035655020822841575,0.5574999999999999,0.5483,0.53755,0.5772999999999999
root_punct_var,0.018649999999999944,0.016331713283128185,0.5802999999999999,0.56165,0.5690500000000001,0.5683499999999999
corr_punct_var,0.013100000000000056,0.016220901416269383,0.41035000000000005,0.39725,0.40230000000000005,0.40185000000000004
simp_intj_var,0.0,0.0,0.0,0.0,0.0,0.0
root_intj_var,0.0,0.0,0.0,0.0,0.0,0.0
simp_space_var,0.0,0.0,0.0,0.0,0.0,0.0
simp_sym_var,0.0,0.0,0.0,0.0,0.0,0.0
root_sym_var,0.0,0.0,0.0,0.0,0.0,0.0
corr_intj_var,0.0,0.0,0.0,0.0,0.0,0.0
root_space_var,0.0,0.0,0.0,0.0,0.0,0.0
corr_sym_var,0.0,0.0,0.0,0.0,0.0,0.0
corr_space_var,0.0,0.0,0.0,0.0,0.0,0.0
