Feature,Coefficient
n_dependency_punct,0.25598297366150735
avg_aoa,0.1878863050124187
n_PROPN_Number_Plur,0.1792379529077213
n_adj,0.14901917670540885
n_dependency_advcl,0.14250786862877254
n_high_Head_sensorimotor,0.14125823423960363
n_dependency_case,0.13015884847660092
corr_verb_var,0.11422522307201374
n_dependency_prep,0.11071460416869877
n_propn,0.10435807627930842
n_dependency_aux,0.10219231788409694
n_PROPN_Number_Sing,0.0953827686965778
n_dependency_dobj,0.09442769653520564
n_adv,0.0937771371639779
n_sconj,0.0933438550756227
n_punct,0.08960521720621623
avg_word_length,0.08604794548899655
mattr,0.08172864567241417
n_NOUN_Number_Plur,0.07999088504612334
n_PUNCT_PunctType_Comm,0.07797338607072886
n_high_intensity_trust,0.07787782613099423
n_high_intensity_surprise,0.07536497264570763
n_VERB_Number_Sing,0.07342381367295864
n_high_intensity_anger,0.07221106999639296
simpsons_d,0.06964376865588558
n_PRON_PronType_Prs,0.06955221032749208
n_VERB_VerbForm_Part,0.06878849499777935
n_dependency_neg,0.06781344899169706
n_DET_Definite_Def,0.06211824966470924
n_high_Foot_leg_sensorimotor,0.05839867001172687
entropy,0.05749393204759116
n_high_Gustatory_sensorimotor,0.04945524543452325
n_dependency_relcl,0.04249136525012918
n_PUNCT_PunctType_Dash,0.0420328905403085
n_PRON_PronType_Dem,0.03528331735152762
n_dependency_poss,0.03037863953222306
n_dependency_expl,0.029144608177281327
n_ADJ_Degree_Pos,-0.019097529045969258
n_person,-0.03158572864441449
corr_det_var,-0.038624004232442825
n_pron,-0.03903720682716845
n_dependency_conj,-0.05407351566526775
corr_num_var,-0.05552132072636108
n_high_concreteness,-0.05711611397692041
tree_depth,-0.05745031246161407
n_dependency_nsubjpass,-0.06043117300522776
corr_adj_var,-0.060894023920331525
tree_branching,-0.06131034774777741
corr_noun_var,-0.07296390502045404
n_high_Auditory_sensorimotor,-0.07490314972569866
avg_concreteness,-0.07701695988894242
n_dependency_mark,-0.08243298965299233
n_org,-0.09283833564686936
n_aux,-0.11790276561362453
n_dependency_compound,-0.11935684866951109
n_part,-0.12273835525702678
n_date,-0.1375321988573204
n_dependency_advmod,-0.14476052148378565
n_VERB_VerbForm_Fin,-0.1526444293738102
n_dependency_amod,-0.2128640236537343
n_PUNCT_PunctType_Brck,-0.2707123552548583
t_stopword,-0.405473640719216
